"Storage","Water level (mAHD)","Water depth (m)","Volume (ML)","Capacity (ML)","Volume (%)","Reported date"
"Corin","956","60","70,787","70,787","100.0","2021-11-25"
"Bendora","779","30","11,446","11,446","100.0","2021-11-25"
"Cotter","551","52","76,196","76,197","100.0","2021-11-25"
